pos,age,muslim,rel_others,yoruba,igbo,eth_others,nc,nw,se,ss,sw,lat,lng,wealth,urban
0,19,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-74698,0
0,35,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-30256,0
0,25,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-30256,0
0,25,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-86894,0
0,17,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-44286,0
0,30,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-20886,0
0,37,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-16806,0
0,20,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-16806,0
0,18,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-16806,0
0,26,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,24744,0
0,26,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-69335,0
0,40,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,45029,0
0,30,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,45029,0
0,40,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-60112,0
0,16,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-60112,0
0,36,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-105064,0
0,20,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-105064,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-105064,0
0,38,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-90881,0
0,19,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-123219,0
0,28,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-123219,0
0,19,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-115096,0
0,43,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-98782,0
0,27,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-43265,0
0,40,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-57931,0
0,15,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-57931,0
0,26,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-78522,0
0,28,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-93507,0
0,47,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-21259,0
0,26,0,0,1,0,0,1,0,0,0,0,7.148612,9.16421,-106919,0
0,21,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-41172,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-41172,0
0,16,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-41172,0
0,38,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-71420,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-71420,0
0,15,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-71420,0
0,30,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-71420,0
0,22,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-69762,0
0,19,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-86825,0
0,15,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-86825,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-73356,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-73356,0
0,32,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-97259,0
0,40,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-95113,0
0,25,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-95113,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-96243,0
0,23,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-41534,0
0,29,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-38596,0
0,32,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-21473,0
0,22,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-87756,0
0,28,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-39398,0
0,24,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-87272,0
0,38,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-65952,0
0,16,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-65952,0
0,39,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-80238,0
0,18,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-80238,0
0,35,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-80238,0
0,48,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-42215,0
0,40,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-42215,0
0,16,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-42215,0
0,16,0,0,0,0,1,1,0,0,0,0,7.148612,9.16421,-42215,0
0,25,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-91828,0
0,49,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,40,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,41,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,22,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,15,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,26,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,21,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-16517,0
0,27,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-95367,0
0,31,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-42219,0
0,15,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-42219,0
0,30,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-100067,0
0,38,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-120623,0
0,21,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-120623,0
0,18,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-120623,0
0,34,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-110961,0
0,45,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-92152,0
0,46,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-82249,0
0,32,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-76430,0
0,20,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-95069,0
0,37,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-94215,0
0,30,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-99193,0
0,20,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-99193,0
0,20,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-99193,0
0,20,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-13686,0
0,29,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-84441,0
0,31,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-108173,0
0,33,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-118472,0
0,17,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-118472,0
0,26,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-93991,0
0,30,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-73508,0
0,34,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-97607,0
0,20,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-9624,0
0,42,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-100746,0
0,33,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-122063,0
0,18,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-38275,0
0,21,0,0,1,0,0,1,0,0,0,0,7.49703,8.82081,-85596,0
0,42,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-112486,0
0,15,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-112486,0
0,22,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-87149,0
0,42,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-94760,0
0,24,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-56529,0
0,17,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-122732,0
0,19,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-62252,0
0,18,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-62252,0
0,18,0,0,0,0,1,1,0,0,0,0,7.49703,8.82081,-48814,0
0,32,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-97815,0
0,31,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-104159,0
0,45,0,1,0,0,1,1,0,0,0,0,7.445235,9.004712,-109425,0
0,23,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-99611,0
0,40,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-56199,0
0,26,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-50314,0
0,35,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-68628,0
0,26,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-48037,0
0,30,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-100712,0
0,15,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-100712,0
0,45,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-38250,0
0,38,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-84255,0
